<<<<<<< HEAD
id,Identificador,ubicacion,id_supermanzana,lat,lon
2.0,S1494,BLVD. KUKULCAN - PLAZA LA ISLA LIVERPOOL-SAINT LAUREN,,21.109574999999992,-86.763095
3.0,P387,BLVD. KUKULCAN - PLAZA MAYA FAIR,,21.138126,-86.750949
4.0,S1820,BLVD. KUKULCAN HOTEL TEMPTATION CARRIL DE SUBIDA,,21.147894,-86.792609
5.0,S1819,BLVD. KUKULCAN - OCEAN SPA (IGLESIA CRISTO RESUCITADO),,21.146458,-86.791445
6.0,S1880,BLVD. KUKULCAN - JARDIN DEL ARTE (SEMARNAT),,21.143257,-86.78279
7.0,S1822,BLVD. KUKULCAN - PLAYA TORTUGAS,,21.138762,-86.770073
8.0,S1827,BLVD. KUKULCAN - POK TA POK,,21.134921999999996,-86.760956
9.0,P386,BLVD. KUKULCAN - FRENTE FARMACIA,,21.136490999999996,-86.751228
10.0,S1489,BLVD. KUKULCAN - PLAZA CARACOL 1,,21.136656999999996,-86.74954
22.0,P442,AV. ANDRÉS Q. ROO CON AV. CHACMOOL,096,21.146848999999996,-86.870219
34.0,P30,AV. ANDRES QUINTANA ROO CON AV. 135,099,21.14627399999999,-86.8775
35.0,S1657,AV. ANDRES QUINTANA ROO CON AV. INDUSTRIAL,097,21.14709499999999,-86.866457
36.0,S1746,AV. ANDRES Q. ROO Y AV. OAXACTUN,095,21.147404999999996,-86.861533
37.0,S1759,AV. ANDRES QUINTANA ROO CON AV. COMALCALCO,095,21.147668999999997,-86.858099
38.0,P46,AV. ANDRES QUINTANA ROO CON AV. KINIK,050,21.147878999999993,-86.856612
39.0,S1719,AV. ANDRES QUINTANA ROO CON AV. TEPICH,097,21.148311999999994,-86.8554
44.0,S1861,AV. NICHUPTE CON AV. INDUSTRIAL,512,21.140010999999998,-86.865921
45.0,S1745,AV. NICHUPTE CON AV. MEXICO (OAXACTUN),511,21.139904,-86.860964
46.0,P45,AV. NICHUPTE CON AV. KINIK,051,21.140742000000003,-86.856015
47.0,S1638,AV. NICHUPTE CON AV. TEPICH,051,21.140856,-86.85500300000001
48.0,S1496,AV. NICHUPTE CON AV. CHILAM BALAM,051,21.140916,-86.850848
49.0,P86,AV. NICHUPTE CON AV. KOHUNLICH,051,21.141044000000004,-86.84559800000001
50.0,S1687,AV. NICHUPTE CON AV. DEL BOSQUE,051,21.14107099999999,-86.844109
109.0,P54,AV NICHUPTE CON AV LA LUNA,051,21.14101125624163,-86.84827955347279
112.0,P205,AV. LA LUNA CON AV. KOHUNLICH,050,21.142884999999996,-86.846717
121.0,P55,AV. LA LUNA CON AV. CANCÚN,509,21.133256,-86.854781
120.0,P208,AV. LA LUNA CON AV. TECNOLOGICO,504,21.139141000000002,-86.849858
124.0,S609,AV. FCO. I. MADERO (RUTA 4) CON CALLE 103 (1ª DE LA REG. 94),094,21.160512,-86.86106100000002
125.0,S900,AV. FCO. I. MADERO (RUTA 4) CON CALLE 79,092,21.166068999999997,-86.849816
164.0,S352,AV FRANCISCO I MADERO CON AV 137,102,21.151217428349092,-86.87984319410081
147.0,S77,AV. LEONA VICARIO CON CALLE 61 NORTE,229,21.177450999999998,-86.849134
148.0,P138,AV. LEONA VICARIO CON CALLE 53 (VICENTE LOMBARDO TOLEDANO),230,21.178542999999998,-86.846904
11.0,S1509,BLVD. KUKULCAN - CI BANCO,,21.133837999999994,-86.748196
12.0,P389,BLVD. KUKULCAN - CORAL NEGRO,,21.132390000000004,-86.748617
13.0,P385,BLVD. KUKULCAN - PLAYA CHAC MOOL,,21.12953299999999,-86.750248
55.0,S1524,AV. CHACMOOL CON AV. FELIPE CARRILLO PUERTO,222,21.176250999999997,-86.873533
14.0,S1486,BLVD. KUKULCAN - PLAZA FLAMINGOS CARRIL DE SUBIDA,,21.117991999999997,-86.757153
15.0,S1691,BLVD. KUKULCAN - HOSPITAL JOYA CANCUN,,21.103933999999995,-86.765072
108.0,P10,Kabah con Tules,248,21.1906211,-86.8699258
77.0,P335,AV. RODRIGO GÓMEZ (KABAH) CON AV. XCARET,044,21.152446,-86.841959
78.0,P49,AV. XCARET CON AV. LA COSTA,021,21.153592,-86.838693
79.0,P78,AV. XCARET Y CON AV. PALENQUE,021,21.154773999999996,-86.834945
83.0,P406,AV. COBA CON AV. BONAMPAK (KM.0),004-A,21.155679999999997,-86.82133800000001
84.0,P457,AV. COBA (FRENTE AL HOSPITAL DEL IMSS),052,21.157804999999996,-86.826997
51.0,P94,AV. NICHUPTE CON AV. CONTOY,011,21.142154999999995,-86.830622
85.0,P43,AV. COBA CON AV. YAXCHILAN,052,21.158168000000003,-86.829077
103.0,P458,AV. KABAH (AV. RODRIGO GOMEZ) CON AV. YAXCHILAN,021,21.146358999999997,-86.83568
104.0,P104,AV. KABAH (AV. RODRIGO GOMEZ) CON AV. MAYAPAN,021,21.149185999999997,-86.83853100000002
100.0,P64,AV. TULUM CON AV. SAYIL,007,21.149611,-86.824753
119.0,P204,AV. LA LUNA CON POLITECNICO,505,21.136303999999992,-86.852238
40.0,P87,AV. ANDRES QUINTANA ROO CON AV. KONHUNLICH,050,21.149654,-86.850913
41.0,S1896,AV. ANDRES QUINTANA ROO CON AV. DEL SOL,039,21.150750000000002,-86.847618
42.0,P32,AV. NICHUPTE CON AV. 135,099,21.140172,-86.877037
43.0,P401,AV. NICHUPTE CON AV. CHAC MOOL,096,21.140051,-86.869667
53.0,P242,AV. MIGUEL HIDALGO CON AV. TULUM,067,21.179886,-86.830063
65.0,P20,AV. LEONA VICARIO CON AV. CHAMOOL,217,21.16619899999999,-86.87188
66.0,P236,PROLONGACION TULUM CON AV. LEONA VICARIO,240,21.185303000000005,-86.833067
97.0,P18,AV. KABAH (AV. RODRIGO GOMEZ) CON AV- LEONA VICARIO,219,21.172455,-86.859189
67.0,P15,AV. NIÑOS HEROES CON AV. CHACMOOL,217,21.169143999999996,-86.872113
98.0,P13,AV. KABAH (AV. RODRIGO GOMEZ) CON AV. NIÑOS HEROES,220,21.174748,-86.860474
63.0,P22,AV. MIGUEL HIDALGO (RUTA 5) CON AV. CHACMOOL,100,21.15886099999999,-86.871215
64.0,P2,AV. PUERTO JUÁREZ (TALLERES) CON AV. CHACMOOL,100,21.162599000000004,-86.871566
71.0,P443,Chac Mool-20 de Noviembre,216,21.17428184431473,-86.8725552071257
69.0,P132,AV. NIÑOS HEROES CON AV. PROLONGACION TULUM,240,21.187626999999992,-86.834359
95.0,P21,AV. KABAH (AV. RODRIGO GOMEZ) CON AV. MIGUEL HIDALGO (RUTA 5),092,21.166690999999993,-86.855916
96.0,P1,AV. KABAH (AV. RODRIGO GOMEZ) CON AV. PUERTO JUÁREZ (TALLERES),093,21.1695,-86.857518
99.0,P326,AV. KABAH (AV. RODRIGO GOMEZ) CON AV. 20 NOVIEMBRE,221,21.179114999999996,-86.862912
107.0,S1584,AV. TULUM FRENTE A PLAZA LAS TIENDAS.,064,21.172406,-86.82649300000001
90.0,P459,AV. BONAMPAK CON AV. PIONEROS (HOSPITEN),008,21.1386,-86.823908
101.0,P74,AV. SAYIL CON AV. BONAMPAK,006,21.149603999999997,-86.821601
16.0,S1878,BLVD. KUKULCAN - KUKULCAN 2 CARRIL DE SUBIDA,,21.101032,-86.766625
17.0,S1493,BLVD. KUKULCAN - HOTEL CANOPY BY HILTON,,21.112005758645633,-86.76184822346741
18.0,S1697,BLVD. KUKULCAN - EMPORIO HILTON,,21.074870999999998,-86.777648
19.0,P432,BLVD. KUKULCAN - CORAL NEGRO 2,,21.131493,-86.748649
20.0,S1508,BLVD. KUKULCAN -CHEDRAUI,,21.135989999999996,-86.747069
21.0,P391,BLVD. KUKULCAN - PLAZA CARACOL 2,,21.137603,-86.749147
167.0,S1959,BLVD. LUIS DONALDO COLOSIO CON COLEGIO ST. JOHNS,312,21.121412999999997,-86.83441800000001
165.0,S787,HUAYACAN CON AV 135,307,21.099236063543117,-86.86342903674485
170.0,P448,AV CHACMOOL CON AV HUAYACAN,341,21.080862368321405,-86.880080333542
175.0,P158,Av Yaxché con Av Galaxias del Sol,254,21.165808562379837,-86.91451654465492
173.0,P58,Av Chac Mool Con Calle Uno Norte,253,21.18585773292979,-86.87952801223922
177.0,S1893,Av Kabah Con Av Gonzalo Guerrero,225,21.184088916884004,-86.86599160317245
171.0,P5,AV RANCHO VIEJO CON ARCO NORTE,244,21.203123370088107,-86.84061518559521
174.0,P197,AV. MIGUEL HIDALGO (RUTA 5) CON AV. LA´KIN,105,21.144434999999998,-86.903014
81.0,P44,AV. XCARET CON AV. YAXCHILAN,020,21.15609,-86.82884
166.0,P95,BLVD. LUIS DONALDO COLOSIO CON AV. CONTOY (PIONEROS),008,21.139314999999996,-86.825543
158.0,P187,AV. YAXCHILAN CON AV. MAYAPAN,021,21.150554000000003,-86.832816
178.0,P51,Av Orquídeas con Av Lak'in,259,21.143713004838396,-86.91906980284845
159.0,P31,AV. CANCÚN CON AV. 135,515,21.132744000000006,-86.876469
123.0,S603,AV. FCO. I. MADERO (RUTA 4) CON CALLE 107 (2ª DE LA REG. 94),094,21.159425,-86.863249
151.0,P130,AV. NIÑOS HEROES CON CALLE 61 NORTE (PLAZA MALL),228,21.179748,-86.850442
144.0,P148,AV. LEONA VICARIO CON AV. 127,211,21.162656000000002,-86.879016
145.0,S588,AV. LEONA VICARIO CON CALLE 31 PONIENTE (CHEDRAUI),217,21.164977,-86.87436600000001
146.0,S117,AV. LEONA VICARIO CON CALLE 71 NORTE (CECYTE),229,21.175809,-86.85248
168.0,S2179,BLVD. LUIS DONALDO COLOSIO CON RESIDENCIAL CAMPESTRE,309,21.101426,-86.840433
172.0,S1403,Av 135 Con Av Mallorca,327,21.111572963480253,-86.88341196271983
176.0,S2149,Av Heberto Castillo Con Av Lak'in,255,21.176859337557563,-86.91421029285067
169.0,S2174,BLVD. LUIS DONALDO COLOSIO CON CENTRAL DE ABASTOS,301,21.043966829970394,-86.849487482502
162.0,S1761,AV CHICHEN ITZA CON AV COMALCALCO,097,21.155075956600754,-86.85865511924763
163.0,P47,AV CHICHEN ITZA CON AV KINIK,059,21.15589779705311,-86.85726604786679
152.0,P131,AV. NIÑOS HEROES CON AV. LIC. GASTON ALEGRE (RANCHO VIEJO),233,21.186526999999998,-86.836567
91.0,P347,AV. KABAH (AV. RODRIGO GOMEZ) - AV. NICHUPTÉ,051,21.141254,-86.833962
102.0,P394,AV. KABAH (AV. RODRIGO GOMEZ) CON AV. HUAYACAN Y CANCÚN,054,21.133276,-86.832584
105.0,P56,AV. KABAH (AV. RODRIGO GOMEZ) CON AV. LA LUNA,021,21.150757,-86.840184
126.0,S119,AV. FCO. I. MADERO (RUTA 4) CON CALLE 71 NORTE,091,21.167191,-86.847559
127.0,P141,AV. FCO. I. MADERO (RUTA 4) CON CALLE 53 (VICENTE LOMBARDO TOLEDANO),091,21.169922,-86.842086
128.0,P136,AV. FCO. I. MADERO (RUTA 4) CON AV. CTM,073,21.170449000000005,-86.841337
129.0,S683,AV. FCO. I. MADERO (RUTA 4) CON CALLE 19 (TORCASITA),066,21.17457900000001,-86.83307100000002
153.0,S1485,AV. 20 DE NOVIEMBRE CON CALLE 61 NORTE (ESPALDAS PLAZA MALL),228,21.184091,-86.852897
154.0,P12,AV. 20 DE NOVIEMBRE CON AV. COSTA MAYA,233,21.186966999999996,-86.847138
155.0,P8,AV. 20 DE NOVIEMBRE CON AV. LIC. GASTON ALEGRE (RANCHO VIEJO),238,21.188924999999998,-86.837128
156.0,P400,AV. DIAG. TULUM CON AV. 20 DE NOVIEMBRE,076,21.19062999999999,-86.827392
161.0,P365,AV. BONAMPAK - AV. 20 DE NOVIEMBRE,076,21.190921999999997,-86.818863
133.0,P153,AV. MIGUEL HIDALGO (RUTA 5) CON CALLE 127,101,21.156637000000003,-86.87564
134.0,S602,AV. MIGUEL HIDALGO (RUTA 5) CON AV. 107(2ª REG.94),094,21.162280999999997,-86.864872
141.0,P171,AV. PUERTO JUÁREZ (TALLERES) CON AV. 127,101,21.159699999999994,-86.877356
